etti:	et <v> <t_past> <3p>
“Doğru	<unk>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <vn_dik> <p3s> <acc>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p2s> <acc>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p3s> <acc>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <cv_dik> <p3s> <acc>
biliyoruz,	bil <v> <t_cont> <1p>
tabii	tabii <adj> <Djn_0> <n>
tabii	tabii <adj> <Djn_0> <n> <3s>
tabii	tabii <adj> <Djn_0> <n> <3p>
tabii	tabii <ij>
ki	ki <cnjadv>
jüri	jüri <n> <3s>
jüri	jüri <n> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
bu.”	<unk>
"Ben	ben <prn> <pers> <3s>
"Ben	ben <prn> <pers> <3p>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
verdim,	verdi <n> <p1s> <3s>
verdim,	verdi <n> <p1s> <3p>
verdim,	ver <v> <t_past> <1s>
onlar	onlar <prn> <pers> <3s>
onlar	onlar <prn> <pers> <3p>
onlar	on <n> <D_lA> <v> <t_aor> <3s>
onlar	on <n> <D_lA> <v> <t_aor> <3p>
onlar	on <n> <3p>
onlar	on <n> <pl>
onlar	on <n> <pl> <3s>
onlar	on <n> <pl> <3p>
onlar	on <num> <Dmn_0> <n> <D_lA> <v> <t_aor> <3s>
onlar	on <num> <Dmn_0> <n> <D_lA> <v> <t_aor> <3p>
onlar	on <num> <Dmn_0> <n> <3p>
onlar	on <num> <Dmn_0> <n> <pl>
onlar	on <num> <Dmn_0> <n> <pl> <3s>
onlar	on <num> <Dmn_0> <n> <pl> <3p>
onlar	o <prn> <pers> <3p>
onlar	o <prn> <pers> <pl>
onlar	o <prn> <pers> <pl> <3s>
onlar	o <prn> <pers> <pl> <3p>
da	<unk>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
iki	iki <num> <Dmn_0> <n>
iki	iki <num> <Dmn_0> <n> <3s>
iki	iki <num> <Dmn_0> <n> <3p>
...	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
“Şey,	<unk>
herhalde	herhalde <adv> <Dan_0> <n>
herhalde	herhalde <adv> <Dan_0> <n> <3s>
herhalde	herhalde <adv> <Dan_0> <n> <3p>
turtalarla	turta <n> <pl> <ins> <3s>
turtalarla	turta <n> <pl> <ins> <3p>
yaptığı	yap <v> <part_dik> <p3s> <3s>
yaptığı	yap <v> <part_dik> <p3s> <3p>
yaptığı	yap <v> <part_dik> <acc>
yaptığı	yap <v> <part_dik> <acc> <3s>
yaptığı	yap <v> <part_dik> <acc> <3p>
yaptığı	yap <v> <cv_dik> <p3s>
şey	şey <n> <3s>
şey	şey <n> <3p>
