<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
değiştirmenin	değiş <v> <caus> <vn_ma> <p2s> <gen> <3s>
değiştirmenin	değiş <v> <caus> <vn_ma> <p2s> <gen> <3p>
değiştirmenin	değiş <v> <caus> <vn_ma> <gen>
değiştirmenin	değiş <v> <caus> <vn_ma> <gen> <3s>
değiştirmenin	değiş <v> <caus> <vn_ma> <gen> <3p>
doğru	doğru <adj> <Djn_0> <n>
doğru	doğru <adj> <Djn_0> <n> <3s>
doğru	doğru <adj> <Djn_0> <n> <3p>
doğru	doğru <postp>
yolunu	yol <n> <p2s> <acc> <3s>
yolunu	yol <n> <p2s> <acc> <3p>
yolunu	yol <n> <p3s> <acc>
yolunu	yol <n> <p3s> <acc> <3s>
yolunu	yol <n> <p3s> <acc> <3p>
bilen	bil <v> <part_yan> <3s>
bilen	bil <v> <part_yan> <3p>
olsaydı,”	<unk>
diyordu,	de <v> <t_cont> <cpl_di> <3p>
diyordu,	de <v> <t_cont> <3p> <cpl_di>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
sırada	sıra <n> <loc> <3s>
sırada	sıra <n> <loc> <3p>
Cheshire	<unk>
Kedisi’nin	<unk>
birkaç	birkaç <adj> <Djn_0> <n>
birkaç	birkaç <adj> <Djn_0> <n> <3s>
birkaç	birkaç <adj> <Djn_0> <n> <3p>
birkaç	birkaç <det>
metre	metre <n> <3s>
metre	metre <n> <3p>
ötede	öte <adv> <Dan_0> <n> <loc> <3s>
ötede	öte <adv> <Dan_0> <n> <loc> <3p>
ötede	öte <n> <loc>
ötede	öte <n> <loc> <3s>
ötede	öte <n> <loc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
ağacın	ağaç <n> <p2s> <3s>
ağacın	ağaç <n> <p2s> <3p>
ağacın	ağaç <n> <gen>
ağacın	ağaç <n> <gen> <3s>
ağacın	ağaç <n> <gen> <3p>
ağacın	ağa <n> <D_CI> <adj> <Djn_0> <n> <p2s>
ağacın	ağa <n> <D_CI> <adj> <Djn_0> <n> <p2s> <3s>
ağacın	ağa <n> <D_CI> <adj> <Djn_0> <n> <p2s> <3p>
ağacın	ağa <n> <D_CI> <n> <p2s>
ağacın	ağa <n> <D_CI> <n> <p2s> <3s>
ağacın	ağa <n> <D_CI> <n> <p2s> <3p>
dallarında	dal <n> <pl> <p2s> <loc> <3s>
dallarında	dal <n> <pl> <p2s> <loc> <3p>
dallarında	dal <n> <pl> <p3s> <loc>
dallarında	dal <n> <pl> <p3s> <loc> <3s>
dallarında	dal <n> <pl> <p3s> <loc> <3p>
dallarında	dal <n> <p3p> <loc>
dallarında	dal <n> <p3p> <loc> <3s>
dallarında	dal <n> <p3p> <loc> <3p>
oturduğunu	otur <v> <vn_dik> <p2s> <acc> <3s>
oturduğunu	otur <v> <vn_dik> <p2s> <acc> <3p>
oturduğunu	otur <v> <vn_dik> <p3s> <acc>
oturduğunu	otur <v> <vn_dik> <p3s> <acc> <3s>
oturduğunu	otur <v> <vn_dik> <p3s> <acc> <3p>
oturduğunu	otur <v> <part_dik> <p2s> <acc>
oturduğunu	otur <v> <part_dik> <p2s> <acc> <3s>
oturduğunu	otur <v> <part_dik> <p2s> <acc> <3p>
oturduğunu	otur <v> <part_dik> <p3s> <acc>
oturduğunu	otur <v> <part_dik> <p3s> <acc> <3s>
oturduğunu	otur <v> <part_dik> <p3s> <acc> <3p>
oturduğunu	otur <v> <cv_dik> <p3s> <acc>
görünce	görü <n> <ca>
görünce	gör <v> <cv_ince>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
şaşırdı.	şaşır <v> <t_past> <3p>
şaşırdı.	şaş <v> <caus> <t_past> <3s>
şaşırdı.	şaş <v> <caus> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kedi,	kedi <n> <3s>
Kedi,	kedi <n> <3p>
Alis’i	<unk>
görünce	görü <n> <ca>
görünce	gör <v> <cv_ince>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
sırıttı.	sırıt <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
İyi	<unk>
huylu	huy <n> <D_lI> <adj> <Djn_0> <n>
huylu	huy <n> <D_lI> <adj> <Djn_0> <n> <3s>
huylu	huy <n> <D_lI> <adj> <Djn_0> <n> <3p>
huylu	huy <n> <D_lI> <n>
huylu	huy <n> <D_lI> <n> <3s>
huylu	huy <n> <D_lI> <n> <3p>
görünüyordu,	görün <v> <t_cont> <cpl_di> <3p>
görünüyordu,	görün <v> <t_cont> <3p> <cpl_di>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
düşündü.	düşün <n> <cpl_di> <3p>
düşündü.	düşün <n> <3p> <cpl_di>
düşündü.	düşün <v> <t_past> <3s>
düşündü.	düşün <v> <t_past> <3p>
düşündü.	düş <n> <p2s> <cpl_di> <3s>
düşündü.	düş <n> <p2s> <cpl_di> <3p>
düşündü.	düş <n> <p2s> <3p> <cpl_di>
düşündü.	düş <n> <gen> <cpl_di> <3s>
düşündü.	düş <n> <gen> <cpl_di> <3p>
düşündü.	düş <n> <gen> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Yine	yine <adv> <Dan_0> <n>
Yine	yine <adv> <Dan_0> <n> <3s>
Yine	yine <adv> <Dan_0> <n> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
pençeleri	pençe <n> <pl> <p3s> <3s>
pençeleri	pençe <n> <pl> <p3s> <3p>
pençeleri	pençe <n> <pl> <acc>
pençeleri	pençe <n> <pl> <acc> <3s>
pençeleri	pençe <n> <pl> <acc> <3p>
pençeleri	pençe <n> <p3p>
pençeleri	pençe <n> <p3p> <3s>
pençeleri	pençe <n> <p3p> <3p>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
uzundu,	uzun <adj> <Djn_0> <n> <cpl_di> <3p>
uzundu,	uzun <adj> <Djn_0> <n> <3p> <cpl_di>
uzundu,	uz <n> <p2s> <cpl_di> <3s>
uzundu,	uz <n> <p2s> <cpl_di> <3p>
uzundu,	uz <n> <p2s> <3p> <cpl_di>
uzundu,	uz <n> <gen> <cpl_di> <3s>
uzundu,	uz <n> <gen> <cpl_di> <3p>
uzundu,	uz <n> <gen> <3p> <cpl_di>
dişleri	diş <n> <pl> <p3s> <3s>
dişleri	diş <n> <pl> <p3s> <3p>
dişleri	diş <n> <pl> <acc>
dişleri	diş <n> <pl> <acc> <3s>
dişleri	diş <n> <pl> <acc> <3p>
dişleri	diş <n> <p3p>
dişleri	diş <n> <p3p> <3s>
dişleri	diş <n> <p3p> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
çoktu.	çok <adj> <Djn_0> <n> <cpl_di> <3p>
çoktu.	çok <adj> <Djn_0> <n> <3p> <cpl_di>
çoktu.	çok <adv> <Dan_0> <n> <cpl_di> <3s>
çoktu.	çok <adv> <Dan_0> <n> <cpl_di> <3p>
çoktu.	çok <adv> <Dan_0> <n> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
saygılı	saygı <n> <D_lI> <adj> <Djn_0> <n>
saygılı	saygı <n> <D_lI> <adj> <Djn_0> <n> <3s>
saygılı	saygı <n> <D_lI> <adj> <Djn_0> <n> <3p>
saygılı	saygı <n> <D_lI> <n>
saygılı	saygı <n> <D_lI> <n> <3s>
saygılı	saygı <n> <D_lI> <n> <3p>
saygılı	say <n> <D_gil> <n> <p3s>
saygılı	say <n> <D_gil> <n> <p3s> <3s>
saygılı	say <n> <D_gil> <n> <p3s> <3p>
saygılı	say <n> <D_gil> <n> <acc>
saygılı	say <n> <D_gil> <n> <acc> <3s>
saygılı	say <n> <D_gil> <n> <acc> <3p>
davranılması	davran <v> <pass> <vn_ma> <p3s> <3s>
davranılması	davran <v> <pass> <vn_ma> <p3s> <3p>
davranılması	davran <v> <pass> <cv_ma> <p3s>
gerektiğini	gerek <v> <part_dik> <p2s> <acc> <3s>
gerektiğini	gerek <v> <part_dik> <p2s> <acc> <3p>
gerektiğini	gerek <v> <part_dik> <p3s> <acc>
gerektiğini	gerek <v> <part_dik> <p3s> <acc> <3s>
