<S> <S>+BSTag
"Ne	ne <prn> <qst> <3s>
"Ne	ne <prn> <qst> <3p>
Alice,	ali <n> <D_CA> <n> <3p>
özellikle	özel <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
özellikle	özel <n> <D_lIK> <n> <ins>
özellikle	özel <n> <D_lIK> <n> <ins> <3s>
özellikle	özel <n> <D_lIK> <n> <ins> <3p>
kimseye	kimse <prn> <dat> <3s>
kimseye	kimse <prn> <dat> <3p>
seslenerek.	ses <n> <D_lAn> <v> <cv_erek>
</S> </S>+ESTag
<S> <S>+BSTag
"Az	az <adj> <Djn_0> <n>
"Az	az <adj> <Djn_0> <n> <3s>
"Az	az <adj> <Djn_0> <n> <3p>
"Az	az <adv>
"Az	az <adv> <Dan_0> <n>
"Az	az <adv> <Dan_0> <n> <3s>
"Az	az <adv> <Dan_0> <n> <3p>
"Az	az <v> <t_imp> <2s>
"Az	az <v> <t_imp> <3p>
"Az	az <det>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
getirirdi	getir <v> <t_aor> <cpl_di> <3p>
getirirdi	getir <v> <t_aor> <3p> <cpl_di>
onu!"	on <n> <p3s> <3s>
onu!"	on <n> <p3s> <3p>
onu!"	on <n> <acc>
onu!"	on <n> <acc> <3s>
onu!"	on <n> <acc> <3p>
onu!"	on <num> <Dmn_0> <n> <p3s>
onu!"	on <num> <Dmn_0> <n> <p3s> <3s>
onu!"	on <num> <Dmn_0> <n> <p3s> <3p>
onu!"	on <num> <Dmn_0> <n> <acc>
onu!"	on <num> <Dmn_0> <n> <acc> <3s>
onu!"	on <num> <Dmn_0> <n> <acc> <3p>
onu!"	o <prn> <pers> <p3s>
onu!"	o <prn> <pers> <p3s> <3s>
onu!"	o <prn> <pers> <p3s> <3p>
onu!"	o <prn> <pers> <acc>
onu!"	o <prn> <pers> <acc> <3s>
onu!"	o <prn> <pers> <acc> <3p>
Papağan,	papağan <n> <3s>
Papağan,	papağan <n> <3p>
"Bu	bu <prn> <dem> <3s>
"Bu	bu <prn> <dem> <3p>
"Bu	bu <det>
soruyu	soru <n> <acc> <3s>
soruyu	soru <n> <acc> <3p>
sormama	sor <v> <D_mA> <n> <p1s> <dat> <3s>
sormama	sor <v> <D_mA> <n> <p1s> <dat> <3p>
sormama	sor <v> <neg> <vn_ma>
sormama	sor <v> <neg> <vn_ma> <3s>
sormama	sor <v> <neg> <vn_ma> <3p>
sormama	sor <v> <neg> <cv_ma>
sormama	sor <v> <vn_ma> <p1s> <dat>
sormama	sor <v> <vn_ma> <p1s> <dat> <3s>
sormama	sor <v> <vn_ma> <p1s> <dat> <3p>
izin	izin <n> <3s>
izin	izin <n> <3p>
izin	iz <n> <p2s>
izin	iz <n> <p2s> <3s>
izin	iz <n> <p2s> <3p>
izin	iz <n> <gen>
izin	iz <n> <gen> <3s>
izin	iz <n> <gen> <3p>
verirseniz,	<unk>
Dinah	<unk>
kim?"	kim <prn> <qst> <3s>
kim?"	kim <prn> <qst> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
sordu.	sor <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
hevesle	heves <n> <D_lA> <v> <t_imp> <3p>
hevesle	heves <n> <ins>
hevesle	heves <n> <ins> <3s>
hevesle	heves <n> <ins> <3p>
cevap	cevap <n> <3s>
cevap	cevap <n> <3p>
verdi,	verdi <n> <3s>
verdi,	verdi <n> <3p>
verdi,	ver <v> <t_past> <3s>
verdi,	ver <v> <t_past> <3p>
çünkü	çünkü <cnjadv>
evcil	evcil <adj> <Djn_0> <n>
evcil	evcil <adj> <Djn_0> <n> <3s>
evcil	evcil <adj> <Djn_0> <n> <3p>
evcil	ev <n> <D_cil> <adj>
evcil	ev <n> <D_cil> <adj> <Djn_0> <n>
evcil	ev <n> <D_cil> <adj> <Djn_0> <n> <3s>
evcil	ev <n> <D_cil> <adj> <Djn_0> <n> <3p>
evcil	ev <n> <D_cil> <n>
evcil	ev <n> <D_cil> <n> <3s>
evcil	ev <n> <D_cil> <n> <3p>
hayvanı	hayvan <adj> <Djn_0> <n> <p3s> <3s>
hayvanı	hayvan <adj> <Djn_0> <n> <p3s> <3p>
hayvanı	hayvan <adj> <Djn_0> <n> <acc>
hayvanı	hayvan <adj> <Djn_0> <n> <acc> <3s>
hayvanı	hayvan <adj> <Djn_0> <n> <acc> <3p>
hayvanı	hayvan <n> <p3s>
hayvanı	hayvan <n> <p3s> <3s>
hayvanı	hayvan <n> <p3s> <3p>
hayvanı	hayvan <n> <acc>
hayvanı	hayvan <n> <acc> <3s>
hayvanı	hayvan <n> <acc> <3p>
hakkında	hak <n> <p2s> <loc> <3s>
hakkında	hak <n> <p2s> <loc> <3p>
hakkında	hak <n> <p3s> <loc>
hakkında	hak <n> <p3s> <loc> <3s>
hakkında	hak <n> <p3s> <loc> <3p>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3s>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3p>
konuşmaya	konuş <v> <D_mA> <n> <dat>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3s>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3p>
konuşmaya	konuş <v> <neg> <t_opt> <3s>
konuşmaya	konuş <v> <neg> <t_opt> <3p>
konuşmaya	konuş <v> <vn_ma> <dat>
konuşmaya	konuş <v> <vn_ma> <dat> <3s>
konuşmaya	konuş <v> <vn_ma> <dat> <3p>
konuşmaya	konuş <v> <vn_mak> <dat>
konuşmaya	konuş <v> <vn_mak> <dat> <3s>
konuşmaya	konuş <v> <vn_mak> <dat> <3p>
konuşmaya	konuş <v> <vinf> <dat>
her	<unk>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
hazırdı:	hazır <adj> <Djn_0> <n> <cpl_di> <3p>
hazırdı:	hazır <adj> <Djn_0> <n> <3p> <cpl_di>
hazırdı:	hazır <n> <cpl_di> <3s>
hazırdı:	hazır <n> <cpl_di> <3p>
hazırdı:	hazır <n> <3p> <cpl_di>
“Dinah	<unk>
bizim	biz <prn> <pers> <p1s>
bizim	biz <prn> <pers> <p1s> <3s>
bizim	biz <prn> <pers> <p1s> <3p>
kedimiz.	kedi <n> <p1p>
kedimiz.	kedi <n> <p1p> <3s>
kedimiz.	kedi <n> <p1p> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Fareleri	fare <n> <pl> <p3s> <3s>
Fareleri	fare <n> <pl> <p3s> <3p>
Fareleri	fare <n> <pl> <acc>
Fareleri	fare <n> <pl> <acc> <3s>
Fareleri	fare <n> <pl> <acc> <3p>
Fareleri	fare <n> <p3p>
Fareleri	fare <n> <p3p> <3s>
Fareleri	fare <n> <p3p> <3p>
yakalamakta	yakala <v> <t_makta> <3p>
yakalamakta	yakala <v> <vn_mak> <loc>
yakalamakta	yakala <v> <vn_mak> <loc> <3s>
yakalamakta	yakala <v> <vn_mak> <loc> <3p>
yakalamakta	yakala <v> <vinf> <loc>
yakalamakta	yaka <n> <D_lA> <v> <t_makta> <3s>
yakalamakta	yaka <n> <D_lA> <v> <t_makta> <3p>
yakalamakta	yaka <n> <D_lA> <v> <vn_mak> <loc>
yakalamakta	yaka <n> <D_lA> <v> <vn_mak> <loc> <3s>
yakalamakta	yaka <n> <D_lA> <v> <vn_mak> <loc> <3p>
yakalamakta	yaka <n> <D_lA> <v> <vinf> <loc>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
kadar	<unk>
ustadır	usta <n> <3p> <dir>
ustadır	usta <n> <dir> <3p>
ustadır	us <n> <loc> <3s> <dir>
ustadır	us <n> <loc> <3p> <dir>
ustadır	us <n> <loc> <dir> <3p>
ki,	ki <cnjadv>
tahmin	tahmin <n> <3s>
tahmin	tahmin <n> <3p>
bile	bile <cnjadv>
bile	bil <v> <t_opt> <3s>
bile	bil <v> <t_opt> <3p>
edemezsin!	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Ah,	ah <n> <3s>
Ah,	ah <n> <3p>
Ah,	ah <ij>
keşke	keşke <adv> <Dan_0> <n>
keşke	keşke <adv> <Dan_0> <n> <3s>
keşke	keşke <adv> <Dan_0> <n> <3p>
keşke	keşke <n>
keşke	keşke <n> <3s>
keşke	keşke <n> <3p>
keşke	keşke <cnjadv>
kuşlann	<unk>
peşinden	peşin <n> <abl> <3s>
peşinden	peşin <n> <abl> <3p>
peşinden	peş <n> <p2s> <abl>
peşinden	peş <n> <p2s> <abl> <3s>
peşinden	peş <n> <p2s> <abl> <3p>
peşinden	peş <n> <p3s> <abl>
peşinden	peş <n> <p3s> <abl> <3s>
peşinden	peş <n> <p3s> <abl> <3p>
onu	on <n> <p3s> <3s>
onu	on <n> <p3s> <3p>
onu	on <n> <acc>
onu	on <n> <acc> <3s>
onu	on <n> <acc> <3p>
onu	on <num> <Dmn_0> <n> <p3s>
onu	on <num> <Dmn_0> <n> <p3s> <3s>
onu	on <num> <Dmn_0> <n> <p3s> <3p>
onu	on <num> <Dmn_0> <n> <acc>
onu	on <num> <Dmn_0> <n> <acc> <3s>
onu	on <num> <Dmn_0> <n> <acc> <3p>
onu	o <prn> <pers> <p3s>
onu	o <prn> <pers> <p3s> <3s>
onu	o <prn> <pers> <p3s> <3p>
onu	o <prn> <pers> <acc>
onu	o <prn> <pers> <acc> <3s>
onu	o <prn> <pers> <acc> <3p>
görebilseydin!	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Bakar	bak <v> <t_aor> <3p>
bakmaz	bak <v> <neg> <t_aor> <3p>
küçük	küçük <adj> <Djn_0> <n>
küçük	küçük <adj> <Djn_0> <n> <3s>
küçük	küçük <adj> <Djn_0> <n> <3p>
küçük	küçük <n>
küçük	küçük <n> <3s>
küçük	küçük <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kuş	kuş <n> <3s>
kuş	kuş <n> <3p>
yiyecek!"	ye <v> <t_fut> <3p>
yiyecek!"	ye <v> <vn_acak>
yiyecek!"	ye <v> <vn_acak> <3s>
yiyecek!"	ye <v> <vn_acak> <3p>
yiyecek!"	ye <v> <part_acak>
yiyecek!"	ye <v> <part_acak> <3s>
yiyecek!"	ye <v> <part_acak> <3p>
yiyecek!"	ye <v> <cv_acak>
yiyecek!"	ye <v> <cv_ecek>
yiyecek!"	yiyecek <n>
yiyecek!"	yiyecek <n> <3s>
yiyecek!"	yiyecek <n> <3p>
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
konuşma,	konuşma <adj> <Djn_0> <n>
konuşma,	konuşma <adj> <Djn_0> <n> <3s>
konuşma,	konuşma <adj> <Djn_0> <n> <3p>
konuşma,	konuş <v> <D_mA> <n>
konuşma,	konuş <v> <D_mA> <n> <3s>
konuşma,	konuş <v> <D_mA> <n> <3p>
konuşma,	konuş <v> <neg> <t_imp> <2s>
konuşma,	konuş <v> <neg> <t_imp> <3p>
konuşma,	konuş <v> <vn_ma>
konuşma,	konuş <v> <vn_ma> <3s>
konuşma,	konuş <v> <vn_ma> <3p>
konuşma,	konuş <v> <cv_ma>
grup	grup <n> <3s>
grup	grup <n> <3p>
arasında	ara <adj> <Djn_0> <n> <p3s> <loc> <3s>
arasında	ara <adj> <Djn_0> <n> <p3s> <loc> <3p>
arasında	ara <n> <p3s> <loc>
arasında	ara <n> <p3s> <loc> <3s>
arasında	ara <n> <p3s> <loc> <3p>
dikkat	dikkat <n> <3s>
dikkat	dikkat <n> <3p>
çekici	çekiç <n> <p3s> <3s>
çekici	çekiç <n> <p3s> <3p>
çekici	çekiç <n> <acc>
çekici	çekiç <n> <acc> <3s>
çekici	çekiç <n> <acc> <3p>
çekici	çeki <n> <D_CI> <adj>
çekici	çeki <n> <D_CI> <adj> <Djn_0> <n>
çekici	çeki <n> <D_CI> <adj> <Djn_0> <n> <3s>
çekici	çeki <n> <D_CI> <adj> <Djn_0> <n> <3p>
çekici	çeki <n> <D_CI> <n>
çekici	çeki <n> <D_CI> <n> <3s>
çekici	çeki <n> <D_CI> <n> <3p>
çekici	çek <v> <Dvn_yIcI> <adj>
çekici	çek <v> <Dvn_yIcI> <adj> <Djn_0> <n>
çekici	çek <v> <Dvn_yIcI> <adj> <Djn_0> <n> <3s>
çekici	çek <v> <Dvn_yIcI> <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
heyecan	heyecan <n> <3s>
heyecan	heyecan <n> <3p>
yarattı.	yarat <v> <t_past> <3p>
yarattı.	yara <v> <caus> <t_past> <3s>
yarattı.	yara <v> <caus> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kuşlardan	kuş <n> <pl> <abl> <3s>
Kuşlardan	kuş <n> <pl> <abl> <3p>
bazıları	bazı <adj> <Djn_0> <n> <pl> <p3s> <3s>
bazıları	bazı <adj> <Djn_0> <n> <pl> <p3s> <3p>
bazıları	bazı <adj> <Djn_0> <n> <pl> <acc>
bazıları	bazı <adj> <Djn_0> <n> <pl> <acc> <3s>
bazıları	bazı <adj> <Djn_0> <n> <pl> <acc> <3p>
bazıları	bazı <adj> <Djn_0> <n> <p3p>
bazıları	bazı <adj> <Djn_0> <n> <p3p> <3s>
bazıları	bazı <adj> <Djn_0> <n> <p3p> <3p>
hemen	hemen <adv> <Dan_0> <n>
hemen	hemen <adv> <Dan_0> <n> <3s>
hemen	hemen <adv> <Dan_0> <n> <3p>
hemen	hemen <n>
hemen	hemen <n> <3s>
hemen	hemen <n> <3p>
oradan	ora <prn> <locp> <abl> <3s>
oradan	ora <prn> <locp> <abl> <3p>
uzaklaştılar;	uzak <adj> <Djn_0> <n> <D_lAs> <v> <t_past> <3p>
yaşlı	yaş <adj> <D_lI> <adj> <Djn_0> <n>
yaşlı	yaş <adj> <D_lI> <adj> <Djn_0> <n> <3s>
yaşlı	yaş <adj> <D_lI> <adj> <Djn_0> <n> <3p>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <3s>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <3p>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <n>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <n> <3s>
yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <n> <3p>
yaşlı	yaş <n> <D_lI> <adj>
yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n>
yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n> <3s>
yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n> <3p>
yaşlı	yaş <n> <D_lI> <n>
yaşlı	yaş <n> <D_lI> <n> <3s>
yaşlı	yaş <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
Saksağan,	saksağan <n> <3s>
Saksağan,	saksağan <n> <3p>
dikkatle	dikkat <n> <D_lA> <v> <t_imp> <3p>
dikkatle	dikkat <n> <ins>
dikkatle	dikkat <n> <ins> <3s>
dikkatle	dikkat <n> <ins> <3p>
sarmaya	sarma <n> <dat> <3s>
sarmaya	sarma <n> <dat> <3p>
sarmaya	sar <v> <D_mA> <n> <dat>
sarmaya	sar <v> <D_mA> <n> <dat> <3s>
sarmaya	sar <v> <D_mA> <n> <dat> <3p>
sarmaya	sar <v> <neg> <t_opt> <3s>
sarmaya	sar <v> <neg> <t_opt> <3p>
sarmaya	sar <v> <vn_ma> <dat>
sarmaya	sar <v> <vn_ma> <dat> <3s>
sarmaya	sar <v> <vn_ma> <dat> <3p>
sarmaya	sar <v> <vn_mak> <dat>
sarmaya	sar <v> <vn_mak> <dat> <3s>
sarmaya	sar <v> <vn_mak> <dat> <3p>
sarmaya	sar <v> <vinf> <dat>
başladı,	baş <n> <D_lA> <v> <t_past> <3p>
“Gerçekten	<unk>
eve	ev <n> <dat> <3s>
eve	ev <n> <dat> <3p>
gidiyorum,	<unk>
gece	gece <n> <3s>
gece	gece <n> <3p>
gece	geç <adv> <Dan_0> <n> <dat>
gece	geç <adv> <Dan_0> <n> <dat> <3s>
gece	geç <adv> <Dan_0> <n> <dat> <3p>
havası	havas <n> <p3s> <3s>
havası	havas <n> <p3s> <3p>
havası	havas <n> <acc>
havası	havas <n> <acc> <3s>
havası	havas <n> <acc> <3p>
havası	hava <n> <p3s>
havası	hava <n> <p3s> <3s>
havası	hava <n> <p3s> <3p>
boğazıma	boğaz <n> <p1s> <dat> <3s>
boğazıma	boğaz <n> <p1s> <dat> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
uymuyor,”	<unk>
dedi,	de <v> <t_past> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
Kanarya	kanarya <n> <3s>
Kanarya	kanarya <n> <3p>
titrek	titrek <n> <3s>
titrek	titrek <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle	sesle <v> <t_imp> <3p>
sesle	ses <n> <D_lA> <v> <t_imp> <2s>
sesle	ses <n> <D_lA> <v> <t_imp> <3p>
sesle	ses <n> <ins>
sesle	ses <n> <ins> <3s>
sesle	ses <n> <ins> <3p>
çocuklarına,	çocuk <n> <pl> <p2s> <dat> <3s>
çocuklarına,	çocuk <n> <pl> <p2s> <dat> <3p>
çocuklarına,	çocuk <n> <pl> <p3s> <dat>
çocuklarına,	çocuk <n> <pl> <p3s> <dat> <3s>
çocuklarına,	çocuk <n> <pl> <p3s> <dat> <3p>
çocuklarına,	çocuk <n> <p3p> <dat>
çocuklarına,	çocuk <n> <p3p> <dat> <3s>
çocuklarına,	çocuk <n> <p3p> <dat> <3p>
“Gelin,	<unk>
canlarım.	can <n> <pl> <1s>
canlarım.	can <n> <pl> <p1s>
canlarım.	can <n> <pl> <p1s> <3s>
canlarım.	can <n> <pl> <p1s> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Yatma	yat <v> <D_mA> <n> <3s>
Yatma	yat <v> <D_mA> <n> <3p>
Yatma	yat <v> <neg> <t_imp> <2s>
Yatma	yat <v> <neg> <t_imp> <3p>
Yatma	yat <v> <vn_ma>
Yatma	yat <v> <vn_ma> <3s>
Yatma	yat <v> <vn_ma> <3p>
Yatma	yat <v> <cv_ma>
vaktiniz	vakit <n> <p2p>
vaktiniz	vakit <n> <p2p> <3s>
vaktiniz	vakit <n> <p2p> <3p>
vaktiniz	vakit <n> <gen> <1p>
çoktan	çok <adj> <Djn_0> <n> <abl> <3s>
çoktan	çok <adj> <Djn_0> <n> <abl> <3p>
çoktan	çok <adv> <Dan_0> <n> <abl>
çoktan	çok <adv> <Dan_0> <n> <abl> <3s>
çoktan	çok <adv> <Dan_0> <n> <abl> <3p>
gelmişti.”	<unk>
Çeşitli	çeşitli <n> <3s>
Çeşitli	çeşitli <n> <3p>
Çeşitli	çeşit <n> <D_lI> <adj>
Çeşitli	çeşit <n> <D_lI> <adj> <Djn_0> <n>
Çeşitli	çeşit <n> <D_lI> <adj> <Djn_0> <n> <3s>
Çeşitli	çeşit <n> <D_lI> <adj> <Djn_0> <n> <3p>
Çeşitli	çeşit <n> <D_lI> <n>
Çeşitli	çeşit <n> <D_lI> <n> <3s>
Çeşitli	çeşit <n> <D_lI> <n> <3p>
bahanelerle	bahane <n> <pl> <ins> <3s>
bahanelerle	bahane <n> <pl> <ins> <3p>
hepsi	hepsi <prn> <3s>
hepsi	hepsi <prn> <3p>
oradan	ora <prn> <locp> <abl> <3s>
oradan	ora <prn> <locp> <abl> <3p>
uzaklaştılar,	uzak <adj> <Djn_0> <n> <D_lAs> <v> <t_past> <3p>
Alice'i	<unk>
yalnız	yalnız <adj> <Djn_0> <n>
yalnız	yalnız <adj> <Djn_0> <n> <3s>
yalnız	yalnız <adj> <Djn_0> <n> <3p>
yalnız	yalnız <adv>
yalnız	yalnız <adv> <Dan_0> <n>
yalnız	yalnız <adv> <Dan_0> <n> <3s>
yalnız	yalnız <adv> <Dan_0> <n> <3p>
yalnız	yalnız <cnjadv>
bıraktılar.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Keşke	keşke <adv> <Dan_0> <n>
"Keşke	keşke <adv> <Dan_0> <n> <3s>
"Keşke	keşke <adv> <Dan_0> <n> <3p>
"Keşke	keşke <n>
"Keşke	keşke <n> <3s>
"Keşke	keşke <n> <3p>
"Keşke	keşke <cnjadv>
Dinah'dan	<unk>
bahsetmeseydim,"	<unk>
dedi	de <v> <t_past> <3p>
kendi	kendi <n> <3s>
kendi	kendi <n> <3p>
kendi	kendi <prn>
kendi	kendi <prn> <3s>
kendi	kendi <prn> <3p>
kendine	kendi <n> <p2s> <dat> <3s>
kendine	kendi <n> <p2s> <dat> <3p>
kendine	kendi <prn> <p2s> <dat>
kendine	kendi <prn> <p2s> <dat> <3s>
kendine	kendi <prn> <p2s> <dat> <3p>
üzgün	üzgün <adj> <Djn_0> <n>
üzgün	üzgün <adj> <Djn_0> <n> <3s>
üzgün	üzgün <adj> <Djn_0> <n> <3p>
üzgün	üzgü <n> <p2s>
üzgün	üzgü <n> <p2s> <3s>
üzgün	üzgü <n> <p2s> <3p>
üzgün.	üzgün <adj> <Djn_0> <n>
üzgün.	üzgün <adj> <Djn_0> <n> <3s>
üzgün.	üzgün <adj> <Djn_0> <n> <3p>
üzgün.	üzgü <n> <p2s>
üzgün.	üzgü <n> <p2s> <3s>
üzgün.	üzgü <n> <p2s> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
“Buralarda	<unk>
onu	on <n> <p3s> <3s>
onu	on <n> <p3s> <3p>
onu	on <n> <acc>
onu	on <n> <acc> <3s>
onu	on <n> <acc> <3p>
onu	on <num> <Dmn_0> <n> <p3s>
onu	on <num> <Dmn_0> <n> <p3s> <3s>
onu	on <num> <Dmn_0> <n> <p3s> <3p>
onu	on <num> <Dmn_0> <n> <acc>
onu	on <num> <Dmn_0> <n> <acc> <3s>
onu	on <num> <Dmn_0> <n> <acc> <3p>
onu	o <prn> <pers> <p3s>
onu	o <prn> <pers> <p3s> <3s>
onu	o <prn> <pers> <p3s> <3p>
onu	o <prn> <pers> <acc>
onu	o <prn> <pers> <acc> <3s>
onu	o <prn> <pers> <acc> <3p>
kimse	kimse <prn> <3s>
kimse	kimse <prn> <3p>
kimse	kim <prn> <qst> <cpl_sa> <3s>
kimse	kim <prn> <qst> <cpl_sa> <3p>
kimse	kim <prn> <qst> <3p> <cpl_sa>
sevmiyor	sev <v> <neg> <t_cont> <3p>
sevmiyor	sev <v> <neg> <cv_iyor>
gibi	gibi <cnjsub>
görünüyor,	görün <v> <t_cont> <3p>
görünüyor,	görün <v> <cv_iyor>
eminim	emin <n> <p1s>
eminim	emin <n> <p1s> <3s>
eminim	emin <n> <p1s> <3p>
eminim	em <n> <p2s> <1s>
eminim	em <n> <gen> <1s>
ki	ki <cnjadv>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
dünyanın	dünya <n> <p2s> <gen> <3s>
dünyanın	dünya <n> <p2s> <gen> <3p>
dünyanın	dünya <n> <gen>
dünyanın	dünya <n> <gen> <3s>
dünyanın	dünya <n> <gen> <3p>
en	en <adv> <Dan_0> <n>
en	en <adv> <Dan_0> <n> <3s>
en	en <adv> <Dan_0> <n> <3p>
en	en <n>
en	en <n> <3s>
en	en <n> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
kedisidir.	kedi <n> <p3s> <3p> <dir>
kedisidir.	kedi <n> <p3s> <dir> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Ah,	ah <n> <3s>
Ah,	ah <n> <3p>
Ah,	ah <ij>
sevgili	sevgili <adj> <Djn_0> <n>
sevgili	sevgili <adj> <Djn_0> <n> <3s>
sevgili	sevgili <adj> <Djn_0> <n> <3p>
sevgili	sevgi <n> <D_lI> <adj>
sevgili	sevgi <n> <D_lI> <adj> <Djn_0> <n>
sevgili	sevgi <n> <D_lI> <adj> <Djn_0> <n> <3s>
sevgili	sevgi <n> <D_lI> <adj> <Djn_0> <n> <3p>
sevgili	sevgi <n> <D_lI> <n>
sevgili	sevgi <n> <D_lI> <n> <3s>
sevgili	sevgi <n> <D_lI> <n> <3p>
Dinah!	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Acaba	acaba <adv> <Dan_0> <n>
Acaba	acaba <adv> <Dan_0> <n> <3s>
Acaba	acaba <adv> <Dan_0> <n> <3p>
Acaba	acaba <n>
Acaba	acaba <n> <3s>
Acaba	acaba <n> <3p>
seni	sen <prn> <pers> <p3s> <3s>
seni	sen <prn> <pers> <p3s> <3p>
seni	sen <prn> <pers> <acc>
seni	sen <prn> <pers> <acc> <3s>
seni	sen <prn> <pers> <acc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
