<S> <S>+BSTag
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
namuslu	namus <n> <D_lI> <adj> <Djn_0> <n> <3p>
namuslu	namus <n> <D_lI> <n>
namuslu	namus <n> <D_lI> <n> <3s>
namuslu	namus <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
adam	adam <n> <3s>
adam	adam <n> <3p>
adam	ada <n> <p1s>
adam	ada <n> <p1s> <3s>
adam	ada <n> <p1s> <3p>
gibi	gibi <cnjsub>
imzalardın.”	<unk>
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
söz	söz <n> <3s>
söz	söz <n> <3p>
üzerine	üzeri <n> <p2s> <dat>
üzerine	üzeri <n> <p2s> <dat> <3s>
üzerine	üzeri <n> <p2s> <dat> <3p>
üzerine	üzer <n> <p2s> <dat>
üzerine	üzer <n> <p2s> <dat> <3s>
üzerine	üzer <n> <p2s> <dat> <3p>
üzerine	üzer <n> <p3s> <dat>
üzerine	üzer <n> <p3s> <dat> <3s>
üzerine	üzer <n> <p3s> <dat> <3p>
el	el <n> <3s>
el	el <n> <3p>
çırpma	çırpma <n> <3s>
çırpma	çırpma <n> <3p>
çırpma	çırp <v> <D_mA> <n>
çırpma	çırp <v> <D_mA> <n> <3s>
çırpma	çırp <v> <D_mA> <n> <3p>
çırpma	çırp <v> <neg> <t_imp> <2s>
çırpma	çırp <v> <neg> <t_imp> <3p>
çırpma	çırp <v> <vn_ma>
çırpma	çırp <v> <vn_ma> <3s>
çırpma	çırp <v> <vn_ma> <3p>
çırpma	çırp <v> <cv_ma>
sesleri	ses <n> <pl> <p3s> <3s>
sesleri	ses <n> <pl> <p3s> <3p>
sesleri	ses <n> <pl> <acc>
sesleri	ses <n> <pl> <acc> <3s>
sesleri	ses <n> <pl> <acc> <3p>
sesleri	ses <n> <p3p>
sesleri	ses <n> <p3p> <3s>
sesleri	ses <n> <p3p> <3p>
duyuluyordu;	duyu <n> <D_lA> <v> <t_cont> <cpl_di> <3p>
duyuluyordu;	duyu <n> <D_lA> <v> <t_cont> <3p> <cpl_di>
duyuluyordu;	duy <v> <pass> <t_cont> <cpl_di> <3s>
duyuluyordu;	duy <v> <pass> <t_cont> <cpl_di> <3p>
duyuluyordu;	duy <v> <pass> <t_cont> <3p> <cpl_di>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
gün	gün <n> <3s>
gün	gün <n> <3p>
Kral’ın	<unk>
söylediği	söyle <v> <vn_dik> <p3s> <3s>
söylediği	söyle <v> <vn_dik> <p3s> <3p>
söylediği	söyle <v> <vn_dik> <acc>
söylediği	söyle <v> <vn_dik> <acc> <3s>
söylediği	söyle <v> <vn_dik> <acc> <3p>
söylediği	söyle <v> <part_dik> <p3s>
