uçmaya	uç <v> <vn_mak> <dat> <3p>
uçmaya	uç <v> <vinf> <dat>
başladı;	baş <n> <D_lA> <v> <t_past> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
korkudan,	korku <n> <abl> <3s>
korkudan,	korku <n> <abl> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
da	<unk>
öfkeden	öfke <n> <abl> <3s>
öfkeden	öfke <n> <abl> <3p>
çığlıklar	çığlık <n> <D_lA> <v> <t_aor> <3p>
çığlıklar	çığlık <n> <3p>
çığlıklar	çığlık <n> <pl>
çığlıklar	çığlık <n> <pl> <3s>
çığlıklar	çığlık <n> <pl> <3p>
çığlıklar	çığ <n> <D_lIK> <n> <D_lA> <v> <t_aor> <3s>
çığlıklar	çığ <n> <D_lIK> <n> <D_lA> <v> <t_aor> <3p>
çığlıklar	çığ <n> <D_lIK> <n> <3p>
çığlıklar	çığ <n> <D_lIK> <n> <pl>
çığlıklar	çığ <n> <D_lIK> <n> <pl> <3s>
çığlıklar	çığ <n> <D_lIK> <n> <pl> <3p>
attı,	at <n> <cpl_di> <3p>
attı,	at <n> <3p> <cpl_di>
attı,	at <v> <t_past> <3s>
attı,	at <v> <t_past> <3p>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
onları	onlar <prn> <pers> <acc> <3s>
onları	onlar <prn> <pers> <acc> <3p>
onları	on <n> <pl> <p3s>
onları	on <n> <pl> <p3s> <3s>
onları	on <n> <pl> <p3s> <3p>
onları	on <n> <pl> <acc>
onları	on <n> <pl> <acc> <3s>
onları	on <n> <pl> <acc> <3p>
onları	on <n> <p3p>
onları	on <n> <p3p> <3s>
onları	on <n> <p3p> <3p>
onları	on <num> <Dmn_0> <n> <pl> <p3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3p>
onları	on <num> <Dmn_0> <n> <pl> <acc>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3s>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3p>
onları	on <num> <Dmn_0> <n> <p3p>
onları	on <num> <Dmn_0> <n> <p3p> <3s>
onları	on <num> <Dmn_0> <n> <p3p> <3p>
onları	o <prn> <pers> <pl> <p3s>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
dövmeye	dövme <n> <dat> <3s>
dövmeye	dövme <n> <dat> <3p>
dövmeye	döv <v> <D_mA> <n> <dat>
dövmeye	döv <v> <D_mA> <n> <dat> <3s>
dövmeye	döv <v> <D_mA> <n> <dat> <3p>
dövmeye	döv <v> <neg> <t_opt> <3s>
dövmeye	döv <v> <neg> <t_opt> <3p>
dövmeye	döv <v> <vn_ma> <dat>
dövmeye	döv <v> <vn_ma> <dat> <3s>
dövmeye	döv <v> <vn_ma> <dat> <3p>
dövmeye	döv <v> <vn_mak> <dat>
dövmeye	döv <v> <vn_mak> <dat> <3s>
dövmeye	döv <v> <vn_mak> <dat> <3p>
dövmeye	döv <v> <vinf> <dat>
çalıştı,	çalış <v> <t_past> <3p>
çalıştı,	çal <v> <D_yIS> <n> <cpl_di> <3s>
çalıştı,	çal <v> <D_yIS> <n> <cpl_di> <3p>
çalıştı,	çal <v> <D_yIS> <n> <3p> <cpl_di>
çalıştı,	çal <v> <vn_yis> <cpl_di> <3s>
çalıştı,	çal <v> <vn_yis> <cpl_di> <3p>
çalıştı,	çal <v> <vn_yis> <3p> <cpl_di>
başını	baş <n> <p2s> <acc> <3s>
başını	baş <n> <p2s> <acc> <3p>
başını	baş <n> <p3s> <acc>
başını	baş <n> <p3s> <acc> <3s>
başını	baş <n> <p3s> <acc> <3p>
ablasının	abla <n> <p3s> <gen> <3s>
ablasının	abla <n> <p3s> <gen> <3p>
